1,4,3
1,7,4
1,9,4
1,6,4
1,7,4
1,5,3
1,7,4
1,6,4
1,8,5
1,9,5
1,7,5
1,6,4
1,7,5
1,8,3
1,11,5
1,6,4
1,7,4
1,5,4
1,8,5
1,6,4
1,8,6
1,6,4
1,6,5
1,8,5
1,6,5
1,7,3
1,6,5
1,7,5
1,6,4
1,7,5
1,9,5
1,5,4
1,7,5
1,7,5
1,14,4
1,8,5
1,8,4
1,9,5
1,15,7
1,7,4
1,5,4
1,5,4
1,8,5
1,7,4
1,7,5
1,8,5
1,7,5
1,9,6
1,8,5
1,9,3
1,8,4
1,7,4
1,7,6
1,5,4
1,11,5
1,6,4
1,7,4
1,11,5
1,8,5
1,15,7
1,6,4
1,7,5
1,6,4
1,7,5
1,9,5
1,14,6
1,6,4
1,12,3
1,8,5
1,7,5
1,14,7
1,7,5
1,5,4
1,8,5
1,11,5
1,7,5
1,13,8
1,8,5
1,12,6
1,6,5
1,15,8
1,6,5
1,6,5
1,17,8
1,6,4
1,6,5
1,8,5
1,9,4
1,6,4
1,12,6
1,14,5
1,8,5
1,7,5
1,17,6
1,9,6
1,12,7
1,7,5
1,8,6
1,5,4
1,13,5
1,15,6
1,9,5
1,15,8
1,7,5
1,6,5
1,14,5
1,11,6
1,7,5
1,8,5
1,14,5
1,11,7
1,9,5
1,11,5
1,8,5
1,8,5
1,8,5
1,7,4
1,6,4
1,6,5
1,6,5
1,8,6
1,8,5
1,7,4
1,8,5
1,15,6
1,8,6
1,14,7
1,7,6
1,6,5
1,6,5
1,6,4
1,13,6
1,7,4
1,12,4
1,6,5
1,9,5
1,7,4
1,7,5
1,9,5
1,7,5
1,6,4
1,9,5
1,17,8
1,8,5
1,5,4
1,6,5
1,13,6
1,12,6
1,9,3
1,13,5
1,5,4
1,7,5
1,8,5
1,8,4
1,13,6
1,9,5
1,13,6
1,7,5
1,6,4
1,11,5
1,8,4
1,5,4
1,14,6
1,12,7
1,8,4
1,8,6
1,7,4
1,12,6
1,8,4
1,13,6
1,6,4
1,8,5
1,11,5
1,7,5
1,8,6
1,11,5
1,12,5
1,7,5
1,8,6
1,7,4
1,8,6
1,9,6
1,7,4
1,6,5
1,17,6
1,11,6
1,8,6
1,14,7
1,17,6
1,7,4
1,7,4
1,7,5
1,5,4
1,6,4
1,6,5
1,7,5
1,6,4
1,8,4
1,8,6
1,9,5
1,6,4
1,6,5
1,14,6
1,17,9
1,6,5
1,6,5
1,7,5
1,15,6
1,6,5
1,17,8
1,14,8
1,6,4
1,7,5
1,8,6
1,11,7
1,8,4
1,8,5
1,6,5
1,12,5
1,12,6
1,8,5
1,9,6
1,12,7
1,7,4
1,9,5
1,5,4
1,13,7
1,12,8
1,15,6
1,8,5
1,9,5
1,15,7
1,8,3
1,6,5
1,8,4
1,11,7
1,8,5
1,9,5
1,17,6
1,7,4
1,11,6
1,7,6
1,8,5
1,7,4
1,11,4
1,9,6
1,5,4
1,12,6
1,12,5
1,9,6
